#,term,status,topic,subtopic,n_words,n_patents,tfidf,score,variants,patents
562,cell thermal control device,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",4,1,5.011,14.5,cell thermal control device,US20160211562A1-20160721
563,liquid cooling medium,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",3,1,5.011,14.2,liquid cooling medium,US20060078789A1-20060413
564,thermal insulation,technical,Thermal & fluid management,"Cooling, heat exchange & pumps",2,1,5.011,14.1,thermal insulation,US20160218404A1-20160728
565,wet granule,technical,Processes & characterization,Synthesis & processing,2,2,34.54,101.5,wet granules,US20160211504A1-20160721 US20160204434A1-20160714
566,calcination temperature,technical,Processes & characterization,Synthesis & processing,2,2,17.27,46.1,calcination temperature,US20160172674A1-20160616 US20160172673A1-20160616
567,oxidizing atmosphere,technical,Processes & characterization,Synthesis & processing,2,2,8.635,27.2,oxidizing atmosphere,US20160172674A1-20160616 US20160172673A1-20160616
568,liquid starting mixture,technical,Processes & characterization,Synthesis & processing,3,1,25.053,73.2,liquid starting mixture,US20160164144A1-20160609
569,stirring speed,technical,Processes & characterization,Synthesis & processing,2,1,25.053,62.4,stirring speed,US20160204434A1-20160714
570,dehydrated liquid mixture,technical,Processes & characterization,Synthesis & processing,3,1,10.021,30.5,dehydrated liquid mixture,US20160164144A1-20160609
571,stirring time,technical,Processes & characterization,Synthesis & processing,2,1,10.021,24.2,stirring time,US20160204434A1-20160714
572,high density sulfur slurry,technical,Processes & characterization,Synthesis & processing,4,1,5.011,18.5,high density sulfur slurry,US20170194636A1-20170706
573,grinding media mill,technical,Processes & characterization,Synthesis & processing,3,1,5.011,18.0,grinding media mill,US20160164085A1-20160609
574,hydrogen-containing plasma source,technical,Processes & characterization,Synthesis & processing,3,1,5.011,17.8,hydrogen-containing plasma source,US20170062800A1-20170302
575,organic solvent filtration,technical,Processes & characterization,Synthesis & processing,3,1,5.011,16.6,organic solvent filtration,US20160301084A1-20161013
576,thermal annealing process,technical,Processes & characterization,Synthesis & processing,3,1,5.011,16.4,thermal annealing process,US20170062800A1-20170302
577,aqueous transition metal solution,technical,Processes & characterization,Synthesis & processing,4,1,5.011,16.0,aqueous transition metal solution,US20160164087A1-20160609
578,silicon grinding media,technical,Processes & characterization,Synthesis & processing,3,1,5.011,15.8,silicon grinding media,US20160164085A1-20160609
579,liquid adsorption process,technical,Processes & characterization,Synthesis & processing,3,1,5.011,15.7,liquid adsorption processes,US20160301084A1-20161013
580,high density slurry,technical,Processes & characterization,Synthesis & processing,3,1,5.011,15.6,high density slurry,US20170194636A1-20170706
581,co-precipitation reaction,technical,Processes & characterization,Synthesis & processing,2,1,5.011,14.4,co-precipitation reaction,US20160190579A1-20160630
582,gas separation process,technical,Processes & characterization,Synthesis & processing,3,1,5.011,14.2,gas separation processes,US20160301084A1-20161013
583,transition metal precursor,technical,Processes & characterization,Synthesis & processing,3,1,5.011,14.1,transition metal precursor,US20160164087A1-20160609
584,stirring blade,technical,Processes & characterization,Synthesis & processing,2,1,5.011,14.0,stirring blade,US20160211504A1-20160721
585,reducing atmosphere,technical,Processes & characterization,Synthesis & processing,2,1,5.011,13.4,reducing atmosphere,US20060002844A1-20060105
586,grinding media,technical,Processes & characterization,Synthesis & processing,2,1,10.021,13.4,grinding media,US20160164085A1-20160609
587,mixed powder,technical,Processes & characterization,Synthesis & processing,2,1,5.011,13.1,mixed powder,US20060002844A1-20060105
588,precursor powder,technical,Processes & characterization,Synthesis & processing,2,1,5.011,13.1,precursor powders,US20060121327A1-20060608
589,inert gas,technical,Processes & characterization,Synthesis & processing,2,1,5.011,12.5,inert gas,US20160322617A1-20161103
590,heat treatment,technical,Processes & characterization,Synthesis & processing,2,1,5.011,12.4,heat treatment,US20160190637A1-20160630
591,drying air,technical,Processes & characterization,Synthesis & processing,2,1,5.011,12.2,drying air,US20060105209A1-20060518
592,calcination unit,technical,Processes & characterization,Synthesis & processing,2,1,5.011,11.3,calcination unit,US20160181639A1-20160623
593,drying gas,technical,Processes & characterization,Synthesis & processing,2,1,5.011,11.2,drying gas,US20060105209A1-20060518
594,thin film,technical,Processes & characterization,Coating & deposition,2,2,12.952,21.1,thin film,US20070009802A1-20070111 US20160204444A1-20160714
595,sequential deposition,technical,Processes & characterization,Coating & deposition,2,1,5.011,16.0,sequential depositions,US20070009802A1-20070111
596,coating agent composition,technical,Processes & characterization,Coating & deposition,3,1,5.011,15.3,coating agent composition,US20160141625A1-20160519
597,film coating method,technical,Processes & characterization,Coating & deposition,3,1,5.011,13.6,film coating method,US20170062800A1-20170302
598,scattering peak,technical,Processes & characterization,Characterization & measurement,2,1,10.021,28.0,scattering peaks | scattering peak,US20160240843A1-20160818
599,powder x-ray diffraction measurement,technical,Processes & characterization,Characterization & measurement,4,1,5.011,20.6,powder x-ray diffraction measurement,US20160164093A1-20160609
600,x-ray diffraction spectrum,technical,Processes & characterization,Characterization & measurement,3,1,5.011,18.5,x-ray diffraction spectrum,US20160240843A1-20160818
601,platinum peak intensity,technical,Processes & characterization,Characterization & measurement,3,1,5.011,17.6,platinum peak intensity,US20160190602A1-20160630
602,karl fischer's method,technical,Processes & characterization,Characterization & measurement,3,1,5.011,17.1,karl fischer's method,US20160211515A1-20160721
603,sulfur peak intensity,technical,Processes & characterization,Characterization & measurement,3,1,5.011,17.0,sulfur peak intensity,US20160190602A1-20160630
604,non-invasive measurement method,technical,Processes & characterization,Characterization & measurement,3,1,5.011,16.0,non-invasive measurement method,US20160218382A1-20160728
605,tem-edx analysis,technical,Processes & characterization,Characterization & measurement,2,1,5.011,16.0,tem-edx analysis,US20160190602A1-20160630
606,half width,technical,Processes & characterization,Characterization & measurement,2,1,5.011,15.4,half width,US20160240843A1-20160818
607,raman spectrum,technical,Processes & characterization,Characterization & measurement,2,1,5.011,14.9,raman spectrum,US20160240843A1-20160818
608,integrated intensity,technical,Processes & characterization,Characterization & measurement,2,1,5.011,14.0,integrated intensity,US20160164093A1-20160609
609,diffraction peak,technical,Processes & characterization,Characterization & measurement,2,1,5.011,13.7,diffraction peak,US20160164093A1-20160609
610,peak intensity,technical,Processes & characterization,Characterization & measurement,2,1,10.021,13.5,peak intensity,US20160190602A1-20160630
611,output characteristics,technical,Performance & properties,Electrochemical performance,2,3,11.736,38.5,output characteristics,US20160172674A1-20160616 US20160172673A1-20160616 US20160164093A1-20160609
612,reversible capacity,technical,Performance & properties,Electrochemical performance,2,2,12.952,25.2,reversible capacity,US20060051674A1-20060309 US20160156069A1-20160602
613,cycle performance,technical,Performance & properties,Electrochemical performance,2,2,8.635,24.8,cycle performance,US20160149214A1-20160526 US20160240843A1-20160818
614,output voltage,technical,Performance & properties,Electrochemical performance,2,2,12.952,24.2,output voltage,US20060078764A1-20060413 US20170005377A1-20170105
615,anode potential,technical,Performance & properties,Electrochemical performance,2,2,8.635,21.8,anode potential,US20160172657A1-20160616 US20160172635A1-20160616
616,battery capacity,technical,Performance & properties,Electrochemical performance,2,2,8.635,17.7,battery capacity,US20060093921A1-20060504 US20160240843A1-20160818
617,lifespan characteristics,technical,Performance & properties,Electrochemical performance,2,2,8.635,13.7,lifespan characteristics,US20160190570A1-20160630 US20160181609A1-20160623
618,discharge capacity,technical,Performance & properties,Electrochemical performance,2,2,12.952,11.6,discharge capacity,US20160190560A1-20160630 US20170092937A1-20170330
619,current density,technical,Performance & properties,Electrochemical performance,2,2,8.635,11.2,current density,US20060105214A1-20060518 US20160126546A1-20160505
620,cycle lifespan characteristics,technical,Performance & properties,Electrochemical performance,3,1,5.011,16.7,cycle lifespan characteristics,US20160190570A1-20160630
621,volumetric energy density,technical,Performance & properties,Electrochemical performance,3,1,5.011,16.3,volumetric energy density,US20170062800A1-20170302
622,upper limit voltage,technical,Performance & properties,Electrochemical performance,3,1,5.011,16.1,upper limit voltage,US20170092937A1-20170330
623,internal electrical resistance,technical,Performance & properties,Electrochemical performance,3,1,10.021,14.9,internal electrical resistance,US20160211535A1-20160721
624,charging current density,technical,Performance & properties,Electrochemical performance,3,1,5.011,14.8,charging current density,US20160126546A1-20160505
625,battery initial efficiency,technical,Performance & properties,Electrochemical performance,3,1,5.011,14.4,battery initial efficiency,US20160240843A1-20160818
626,drain rate,technical,Performance & properties,Electrochemical performance,2,1,10.021,13.5,drain rate,US20060068288A1-20060330
627,discharge characteristics,technical,Performance & properties,Electrochemical performance,2,1,5.011,12.3,discharge characteristics,US20160172678A1-20160616
628,discharge performance,technical,Performance & properties,Electrochemical performance,2,1,5.011,12.3,discharge performances,US20160233546A1-20160811
629,discharge cycle,technical,Performance & properties,Electrochemical performance,2,1,5.011,12.3,discharge cycle,US20160190570A1-20160630
630,capacity retention,technical,Performance & properties,Electrochemical performance,2,1,5.011,11.9,capacity retention,US20160164091A1-20160609
631,operating temperature,technical,Performance & properties,Electrochemical performance,2,1,5.011,11.9,operating temperature,US20060134483A1-20060622
632,storage performance,technical,Performance & properties,Electrochemical performance,2,1,5.011,11.3,storage performances,US20160233546A1-20160811
633,cathode potential,technical,Performance & properties,Electrochemical performance,2,1,5.011,10.7,cathode potential,US20160172635A1-20160616
634,electrochemical capacity,technical,Performance & properties,Electrochemical performance,2,1,10.021,10.2,electrochemical capacity,US20060068288A1-20060330
635,particle size,technical,Performance & properties,Physical & material properties,2,3,19.56,40.0,particle size,US20060121327A1-20060608 US20060002844A1-20060105 US20160204434A1-20160714
636,water content,technical,Performance & properties,Physical & material properties,2,2,12.952,23.8,water content,US20160126539A1-20160505 US20160164144A1-20160609
637,surface area,technical,Performance & properties,Physical & material properties,2,2,8.635,22.1,surface area,US20060046113A1-20060302 US20060068288A1-20060330
638,particle diameter,technical,Performance & properties,Physical & material properties,2,2,8.635,12.2,particle diameter,US20160126546A1-20160505 US20160211504A1-20160721
639,ion conductivity,technical,Performance & properties,Physical & material properties,2,2,8.635,12.1,ion conductivity,US20160156069A1-20160602 US20160190637A1-20160630
640,mean primary particle size,technical,Performance & properties,Physical & material properties,4,1,10.021,34.2,mean primary particle size,US20060002844A1-20060105
641,ion resistance,technical,Performance & properties,Physical & material properties,2,1,15.032,33.7,ion resistance,US20160248093A1-20160825
642,bubble point,technical,Performance & properties,Physical & material properties,2,1,10.021,29.8,bubble point,US20160164120A1-20160609
643,crystallite size,technical,Performance & properties,Physical & material properties,2,1,10.021,26.7,crystallite size,US20160172674A1-20160616
644,average particle diameter,technical,Performance & properties,Physical & material properties,3,1,5.011,16.3,average particle diameter,US20160126546A1-20160505
645,sodium ion conductivity,technical,Performance & properties,Physical & material properties,3,1,5.011,16.2,sodium ion conductivity,US20160156069A1-20160602
646,tensile elongation,technical,Performance & properties,Physical & material properties,2,1,5.011,16.0,tensile elongation,US20160149216A1-20160526
647,liquid absorbing rate,technical,Performance & properties,Physical & material properties,3,1,5.011,15.8,liquid absorbing rate,US20160149216A1-20160526
648,primary particle diameter,technical,Performance & properties,Physical & material properties,3,1,5.011,15.7,primary particle diameter,US20160211504A1-20160721
649,average particle size,technical,Performance & properties,Physical & material properties,3,1,5.011,15.0,average particle size,US20160204434A1-20160714
650,crystal-structure stability,technical,Performance & properties,Physical & material properties,2,1,5.011,14.9,crystal-structure stability,US20160164091A1-20160609
651,expansion coefficient,technical,Performance & properties,Physical & material properties,2,1,5.011,14.9,expansion coefficients,US20060121327A1-20060608
652,tap density,technical,Performance & properties,Physical & material properties,2,1,5.011,14.2,tap density,US20160190579A1-20160630
653,mean particle size,technical,Performance & properties,Physical & material properties,3,1,5.011,14.2,mean particle size,US20060002844A1-20060105
654,lithium ion conductivity,technical,Performance & properties,Physical & material properties,3,1,5.011,14.1,lithium ion conductivity,US20160190637A1-20160630
655,volumetric expansion,technical,Performance & properties,Physical & material properties,2,1,5.011,14.0,volumetric expansion,US20160190570A1-20160630
656,electrical resistivity,technical,Performance & properties,Physical & material properties,2,1,5.011,13.5,electrical resistivity,US20060121327A1-20060608
657,thermal conductivity,technical,Performance & properties,Physical & material properties,2,1,5.011,12.8,thermal conductivity,US20160218404A1-20160728
658,powder resistance,technical,Performance & properties,Physical & material properties,2,1,5.011,12.7,powder resistance,US20170092937A1-20170330
659,particle density,technical,Performance & properties,Physical & material properties,2,1,5.011,11.0,particle density,US20160190579A1-20160630
660,electronic device,technical,Systems & applications,End-use devices & vehicles,2,3,27.384,64.5,electronic device,US20060068274A1-20060330 US20160141568A1-20160519 US20160233469A1-20160811
661,electric power tool,technical,Systems & applications,End-use devices & vehicles,3,2,17.27,58.7,electric power tool,US20160172657A1-20160616 US20160226044A1-20160804
662,communication terminal,technical,Systems & applications,End-use devices & vehicles,2,1,15.032,34.0,communication terminals,US20160172654A1-20160616
663,railroad storage battery device,technical,Systems & applications,End-use devices & vehicles,4,1,10.021,29.6,railroad storage battery device,US20160211494A1-20160721
664,motor vehicle,technical,Systems & applications,End-use devices & vehicles,2,1,10.021,26.1,motor vehicle,US20160172635A1-20160616
665,sterilizeable surgical tool,technical,Systems & applications,End-use devices & vehicles,3,1,5.011,18.4,sterilizeable surgical tools,US20160218404A1-20160728
666,electric drive motor,technical,Systems & applications,End-use devices & vehicles,3,1,5.011,17.7,electric drive motor,US20160172635A1-20160616
667,electric stator coil,technical,Systems & applications,End-use devices & vehicles,3,1,5.011,17.7,electric stator coils,US20060046108A1-20060302
668,portable information terminal,technical,Systems & applications,End-use devices & vehicles,3,1,5.011,17.1,portable information terminal,US20160233469A1-20160811
669,power surgical tool,technical,Systems & applications,End-use devices & vehicles,3,1,5.011,15.8,power surgical tools,US20160218404A1-20160728
670,vehicle energy-storage system,technical,Systems & applications,End-use devices & vehicles,3,1,5.011,15.7,vehicle energy-storage systems,US20170005377A1-20170105
671,magnetic rotor,technical,Systems & applications,End-use devices & vehicles,2,1,5.011,15.4,magnetic rotor,US20060046108A1-20060302
672,spin rotor,technical,Systems & applications,End-use devices & vehicles,2,1,5.011,15.4,spin rotor,US20060046108A1-20060302
673,portable electronic device,technical,Systems & applications,End-use devices & vehicles,3,1,5.011,15.0,portable electronic device,US20060068274A1-20060330
674,motor car,technical,Systems & applications,End-use devices & vehicles,2,1,5.011,14.9,motor car,US20160126546A1-20160505
675,stator coil,technical,Systems & applications,End-use devices & vehicles,2,1,10.021,14.9,stator coils,US20060046108A1-20060302
676,surgical tool,technical,Systems & applications,End-use devices & vehicles,2,1,10.021,13.9,surgical tools,US20160218404A1-20160728
677,railroad vehicle,technical,Systems & applications,End-use devices & vehicles,2,1,5.011,13.3,railroad vehicle,US20160211494A1-20160721
678,wearable device,technical,Systems & applications,End-use devices & vehicles,2,1,5.011,12.6,wearable device,US20160233469A1-20160811
679,electric vehicle,technical,Systems & applications,End-use devices & vehicles,2,1,5.011,12.3,electric vehicle,US20160172657A1-20160616
680,portable device,technical,Systems & applications,End-use devices & vehicles,2,1,5.011,11.7,portable devices,US20060068274A1-20060330
681,semiconductor substrate,technical,Systems & applications,Power electronics & circuits,2,1,20.043,48.4,semiconductor substrate | semiconductor substrates,US20160126587A1-20160505
682,duty cycle,technical,Systems & applications,Power electronics & circuits,2,1,15.032,39.9,duty cycle | duty cycles,US20060078768A1-20060413
683,gate electrode,technical,Systems & applications,Power electronics & circuits,2,1,15.032,31.3,gate electrode | gate electrodes,US20060071209A1-20060406
684,gate voltage source,technical,Systems & applications,Power electronics & circuits,3,1,10.021,30.8,gate voltage source,US20060071209A1-20060406
685,power supply system,technical,Systems & applications,Power electronics & circuits,3,1,10.021,25.9,power supply system,US20160126546A1-20160505
686,resistor-switch unit,technical,Systems & applications,Power electronics & circuits,2,1,10.021,24.8,resistor-switch unit,US20160211535A1-20160721
687,pulse train signal,technical,Systems & applications,Power electronics & circuits,3,1,5.011,20.2,pulse train signal,US20060046108A1-20060302
688,printed-wiring board,technical,Systems & applications,Power electronics & circuits,2,1,5.011,15.4,printed-wiring board,US20060040173A1-20060223
689,power electronics converter,technical,Systems & applications,Power electronics & circuits,3,1,5.011,15.1,power electronics converter,US20060093877A1-20060504
690,toggle switch,technical,Systems & applications,Power electronics & circuits,2,1,5.011,15.1,toggle switch,US20160156047A1-20160602
691,circuit board,technical,Systems & applications,Power electronics & circuits,2,1,5.011,14.6,circuit boards,US20060099464A1-20060511
692,printed circuit,technical,Systems & applications,Power electronics & circuits,2,1,5.011,14.6,printed circuit,US20060127752A1-20060615
693,power conditioning system,technical,Systems & applications,Power electronics & circuits,3,1,5.011,14.2,power conditioning system,US20060093877A1-20060504
694,conductive circuit layer,technical,Systems & applications,Power electronics & circuits,3,1,5.011,13.7,conductive circuit layer,US20060127752A1-20060615
695,semiconductor structure,technical,Systems & applications,Power electronics & circuits,2,1,5.011,11.6,semiconductor structures,US20160126587A1-20160505
696,solar cell,technical,Systems & applications,Other electrochemical devices,2,2,17.27,41.2,solar cells,US20060088739A1-20060427 US20160301084A1-20161013
697,electrochemical capacitor,technical,Systems & applications,Other electrochemical devices,2,2,12.952,35.7,electrochemical capacitor | electrochemical capacitors,US20160149214A1-20160526 US20160301084A1-20161013
698,dual mode electrochemical system,technical,Systems & applications,Other electrochemical devices,4,1,15.032,50.8,dual mode electrochemical system,US20060003203A1-20060105
699,oxygen separation membrane,technical,Systems & applications,Other electrochemical devices,3,1,15.032,45.7,oxygen separation membrane,US20170005341A1-20170105
700,electrolysis cell,technical,Systems & applications,Other electrochemical devices,2,1,40.085,43.8,electrolysis cell | electrolysis cells,US20160164128A1-20160609
701,electrolysis cell stack device,technical,Systems & applications,Other electrochemical devices,4,1,15.032,41.5,electrolysis cell stack device,US20160164128A1-20160609
702,thermoelectric device,technical,Systems & applications,Other electrochemical devices,2,1,10.021,24.1,thermoelectric device,US20170214099A1-20170727
703,capacitive deionization system,technical,Systems & applications,Other electrochemical devices,3,1,5.011,17.3,capacitive deionization systems,US20160301084A1-20161013
704,electrochemical supercapacitor,technical,Systems & applications,Other electrochemical devices,2,1,5.011,12.8,electrochemical supercapacitors,US20100190059A1-20100729
705,electrolysis cell stack,technical,Systems & applications,Other electrochemical devices,3,1,20.043,12.0,electrolysis cell stack,US20160164128A1-20160609
,electrolyte secondary battery,rejected,,,3,7,52.1,0.0,electrolyte secondary battery | electrolyte secondary batteries,US20160149214A1-20160526 US20160211515A1-20160721 US20160172674A1-20160616 US20160211554A1-20160721 US20160172673A1-20160616 US20160204438A1-20160714 US20160240843A1-20160818
,general formula,rejected,,,2,6,22.532,85.0,general formula,US20160226067A1-20160804 US20160172674A1-20160616 US20160141625A1-20160519 US20160172673A1-20160616 US20160141582A1-20160519 US20160164093A1-20160609
,solid oxide,rejected,,,2,6,41.845,58.9,solid oxide,US20060121327A1-20060608 US20060035128A1-20060216 US20160141692A1-20160519 US20160149249A1-20160526 US20160111749A1-20160421 US20160118674A1-20160428
,material particle,rejected,,,2,5,47.617,93.9,material particles | material particle,US20060002844A1-20060105 US20160190560A1-20160630 US20160204438A1-20160714 US20160204427A1-20160714 US20160240843A1-20160818
,high capacity,rejected,,,2,4,25.37,74.9,high capacity,US20160149214A1-20160526 US20160226070A1-20160804 US20160190579A1-20160630 US20160164091A1-20160609
,storage device,rejected,,,2,4,28.995,59.7,storage device | storage devices,US20160190657A1-20160630 US20160226070A1-20160804 US20160141719A1-20160519 US20160164053A1-20160609
,electric power,rejected,,,2,4,25.37,55.0,electric power,US20160197367A1-20160707 US20160172657A1-20160616 US20160164053A1-20160609 US20160226044A1-20160804
,opposite side,rejected,,,2,3,27.384,79.1,opposite sides | opposite side,US20160190657A1-20160630 US20160164053A1-20160609 US20160172635A1-20160616
,gas diffusion,rejected,,,2,3,43.032,59.6,gas diffusion,US20160164120A1-20160609 US20160156053A1-20160602 US20160211528A1-20160721
,lithium composite,rejected,,,2,3,46.944,49.6,lithium composite,US20160172674A1-20160616 US20160164087A1-20160609 US20160190579A1-20160630
,cathode side,rejected,,,2,3,19.56,47.3,cathode side,US20060134469A1-20060622 US20170207470A1-20170720 US20160156047A1-20160602
,low temperature,rejected,,,2,3,11.736,34.3,low temperature | low temperatures,US20160233546A1-20160811 US20160211535A1-20160721 US20160149249A1-20160526
,anode side,rejected,,,2,3,11.736,29.1,anode side,US20060134469A1-20060622 US20060078768A1-20060413 US20170207470A1-20170720
,electrochemical system,rejected,,,2,3,23.472,27.9,electrochemical system | electrochemical systems,US20060003203A1-20060105 US20160211539A1-20160721 US20160301084A1-20161013
,fuel cell power,rejected,,,3,3,27.384,20.1,fuel cell power,US20060093877A1-20060504 US20060099464A1-20060511 US20160111749A1-20160421
,manufacturing method,rejected,,,2,3,11.736,19.4,manufacturing method,US20160149179A1-20160526 US20160164093A1-20160609 US20160204434A1-20160714
,material layer,rejected,,,2,3,11.736,12.1,material layer | material layers,US20160344021A1-20161124 US20160141604A1-20160519 US20160204434A1-20160714
,total amount,rejected,,,2,2,34.54,94.1,total amount,US20160164144A1-20160609 US20160164093A1-20160609
,metal plate,rejected,,,2,2,56.127,89.3,metal plate,US20160240827A1-20160818 US20160149179A1-20160526
,power generation,rejected,,,2,2,25.905,66.5,power generation,US20060088739A1-20060427 US20160111749A1-20160421
,power plant,rejected,,,2,2,47.492,66.0,power plant,US20060093877A1-20060504 US20060099464A1-20060511
,inner portion,rejected,,,2,2,25.905,63.0,inner portion,US20060029850A1-20060209 US20160149214A1-20160526
,base plate,rejected,,,2,2,17.27,42.7,base plate,US20160172654A1-20160616 US20160164053A1-20160609
,supply system,rejected,,,2,2,25.905,42.0,supply system,US20060088739A1-20060427 US20160126546A1-20160505
,electrical current,rejected,,,2,2,17.27,41.8,electrical current,US20060035128A1-20060216 US20060078764A1-20060413
,core part,rejected,,,2,2,12.952,34.6,core part,US20160190560A1-20160630 US20160211515A1-20160721
,aqueous solution,rejected,,,2,2,17.27,33.9,aqueous solution,US20060046123A1-20060302 US20160211539A1-20160721
,electrochemical reaction,rejected,,,2,2,12.952,33.6,electrochemical reactions | electrochemical reaction,US20160164120A1-20160609 US20160218380A1-20160728
,flow path,rejected,,,2,2,25.905,32.8,flow path | flow paths,US20060035133A1-20060216 US20160141692A1-20160519
,low-temperature environment,rejected,,,2,2,8.635,28.7,low-temperature environment | low-temperature environments,US20160172674A1-20160616 US20160172673A1-20160616
,metal layer,rejected,,,2,2,21.587,26.7,metal layers | metal layer,US20060046113A1-20060302 US20160204397A1-20160714
,longitudinal direction,rejected,,,2,2,8.635,25.7,longitudinal direction,US20160211560A1-20160721 US20160204438A1-20160714
,production process,rejected,,,2,2,8.635,25.1,production process | production processes,US20160211562A1-20160721 US20160172635A1-20160616
,manganese composite,rejected,,,2,2,8.635,24.7,manganese composite,US20160172673A1-20160616 US20160164093A1-20160609
,main component,rejected,,,2,2,8.635,24.1,main components | main component,US20060078764A1-20060413 US20160141625A1-20160519
,fluid communication,rejected,,,2,2,8.635,23.5,fluid communication,US20060110634A1-20060525 US20160181639A1-20160623
,electrical connection,rejected,,,2,2,8.635,23.4,electrical connection,US20060141328A1-20060629 US20060071209A1-20060406
,electrical potential,rejected,,,2,2,8.635,23.4,electrical potential,US20060141306A1-20060629 US20160172685A1-20160616
,high density,rejected,,,2,2,12.952,23.0,high density,US20170194636A1-20170706 US20160141582A1-20160519
,fuel cell operation,rejected,,,3,2,8.635,22.2,fuel cell operation,US20160211535A1-20160721 US20170200955A1-20170713
,flow rate,rejected,,,2,2,12.952,22.1,flow rate,US20060078768A1-20060413 US20060051632A1-20060309
,electrical contact,rejected,,,2,2,8.635,21.7,electrical contact,US20060134469A1-20060622 US20160204427A1-20160714
,electrical device,rejected,,,2,2,8.635,20.3,electrical devices,US20060088739A1-20060427 US20160372750A1-20161222
,adjacent fuel cell,rejected,,,3,2,12.952,16.9,adjacent fuel cell,US20060035128A1-20060216 US20160204461A1-20160714
,management system,rejected,,,2,2,12.952,16.1,management system,US20160172654A1-20160616 US20170214099A1-20170727
,average particle,rejected,,,2,2,8.635,11.9,average particle,US20160126546A1-20160505 US20160204434A1-20160714
,unit control,rejected,,,2,2,8.635,10.7,unit controls,US20160197367A1-20160707 US20160211494A1-20160721
,flow control,rejected,,,2,2,8.635,10.7,flow control,US20060078768A1-20060413 US20060099464A1-20060511
,lithium mixture,rejected,,,2,2,8.635,10.1,lithium mixture,US20160172674A1-20160616 US20160172673A1-20160616
,electrochemical device,rejected,,,2,2,12.952,9.3,electrochemical devices,US20060105244A1-20060518 US20160204444A1-20160714
,electrolyte rechargeable battery,rejected,,,3,2,12.952,0.0,electrolyte rechargeable battery,US20160164091A1-20160609 US20160164093A1-20160609
,outer peripheral portion,rejected,,,3,1,25.053,68.8,outer peripheral portion,US20060029850A1-20060209
,conductive medium,rejected,,,2,1,30.064,67.7,conductive medium,US20160218380A1-20160728
,solid buffer material,rejected,,,3,1,25.053,64.6,solid buffer material | solid buffer materials,US20160211539A1-20160721
,accommodation space,rejected,,,2,1,25.053,63.1,accommodation space,US20160322617A1-20161103
,outer metal plate,rejected,,,3,1,25.053,61.5,outer metal plate,US20160240827A1-20160818
,cover plate,rejected,,,2,1,40.085,57.4,cover plate | cover plates,US20160172654A1-20160616
,heat-resistant insulating base body,rejected,,,4,1,15.032,54.4,heat-resistant insulating base body,US20160204397A1-20160714
,inner metal plate,rejected,,,3,1,20.043,50.3,inner metal plate,US20160240827A1-20160818
,bottom part,rejected,,,2,1,20.043,49.0,bottom part,US20160141735A1-20160519
,metallic component,rejected,,,2,1,20.043,48.3,metallic component,US20090291340A1-20091126
,upper multilayer polymer,rejected,,,3,1,15.032,46.4,upper multilayer polymer,US20070231687A1-20071004
,auxiliary device,rejected,,,2,1,20.043,45.9,auxiliary device,US20160211561A1-20160721
,ceramic component,rejected,,,2,1,20.043,45.5,ceramic component,US20090291340A1-20091126
,folded portion,rejected,,,2,1,20.043,45.0,folded portion,US20160218387A1-20160728
,front cover plate,rejected,,,3,1,15.032,44.1,front cover plate,US20160172654A1-20160616
,conductive path,rejected,,,2,1,20.043,44.0,conductive path,US20160204397A1-20160714
,porous substrate,rejected,,,2,1,20.043,43.2,porous substrate,US20160141582A1-20160519
,active additive,rejected,,,2,1,20.043,41.9,active additive,US20160218380A1-20160728
,inactive region,rejected,,,2,1,15.032,41.1,inactive regions,US20060127706A1-20060615
,take-off connection,rejected,,,2,1,15.032,39.9,take-off connections,US20060035128A1-20060216
,side cover plate,rejected,,,3,1,15.032,39.7,side cover plates,US20160172654A1-20160616
,inlet gas,rejected,,,2,1,40.085,39.0,inlet gas,US20160141692A1-20160519
,transversal direction,rejected,,,2,1,15.032,38.6,transversal direction,US20160211561A1-20160721
,substrate layer,rejected,,,2,1,20.043,38.2,substrate layer,US20060141328A1-20060629
,measured storage battery,rejected,,,3,1,15.032,38.0,measured storage battery,US20160240835A1-20160818
,stacking direction,rejected,,,2,1,15.032,37.9,stacking direction,US20160240827A1-20160818
,gas side,rejected,,,2,1,20.043,37.8,gas side,US20160164120A1-20160609
,peripheral wall,rejected,,,2,1,15.032,37.5,peripheral wall,US20160141568A1-20160519
,open area,rejected,,,2,1,15.032,37.5,open area,US20170214013A1-20170727
,battery receiving surface,rejected,,,3,1,15.032,36.4,battery receiving surface,US20160141568A1-20160519
,packing structure,rejected,,,2,1,15.032,35.9,packing structure,US20070231687A1-20071004
,dc current,rejected,,,2,1,20.043,35.4,dc current,US20060093877A1-20060504
,extension portion,rejected,,,2,1,20.043,35.1,extension portion | extension portions,US20070231687A1-20071004
,resistance member,rejected,,,2,1,15.032,34.9,resistance member,US20160204397A1-20160714
,constant current,rejected,,,2,1,15.032,34.5,constant current,US20170092937A1-20170330
,gas-permeable barrier sheet,rejected,,,3,1,10.021,34.4,gas-permeable barrier sheet,US20160204491A1-20160714
,functional layer,rejected,,,2,1,15.032,33.9,functional layer,US20160141582A1-20160519
,outer solid nickel bar,rejected,,,4,1,10.021,33.7,outer solid nickel bar,US20060035128A1-20060216
